_id,id,asset_id,location,alternative_name,type,accessible,hours,location_details,url,address,PostedDate,AssetName,Reason,Comments,Status,geometry
205,804,28910,Westway Park,Westway Outdoor Rink Washroom,Washroom Building,,View outdoor rink hours,Located in the rink building next to the outdoor ice rink.,https://www.toronto.ca/data/parks/prd/facilities/complex/804/index.html,175 The Westway ,2024-03-12T12:29:33,Westway Outdoor Rink Washroom,Closed for the Season,None,0,"{'type': 'MultiPoint', 'coordinates': [[-79.54213303, 43.688453200000005]]}"
206,808,28908,West Mall Rink,West Mall Outdoor Rink Washroom,Washroom Building,,View outdoor rink hours,Located in the rink building next to the outdoor ice rink.,https://www.toronto.ca/data/parks/prd/facilities/complex/808/index.html,370 The West Mall ,2024-03-12T12:28:41,West Mall Outdoor Rink Washroom,Closed for the Season,None,0,"{'type': 'MultiPoint', 'coordinates': [[-79.56626931, 43.64152999]]}"
207,814,28902,Sir Adam Beck Rink,Sir Adam Beck Park Outdoor Rink Washroom,Washroom Building,,View outdoor rink hours,Located in the rink building next to the outdoor ice rink.,https://www.toronto.ca/data/parks/prd/facilities/complex/814/index.html,55 Eltham Dr  ,2024-03-06T08:24:43,Sir Adam Beck Park Outdoor Rink Washroom,Closed for the Season,None,0,"{'type': 'MultiPoint', 'coordinates': [[-79.54745953, 43.6024034]]}"
208,873,28893,West Deane Park,West Deane Park Outdoor Rink Washroom,Washroom Building,,View outdoor rink hours,Located in the outdoor rink building.,https://www.toronto.ca/data/parks/prd/facilities/complex/873/index.html,19 Sedgebrook Cres  ,2024-03-06T08:24:23,West Deane Park Outdoor Rink Washroom,Closed for the Season,None,0,"{'type': 'MultiPoint', 'coordinates': [[-79.55902437, 43.66358211]]}"
209,70,29421,Greenwood Park,Greenwood Park Fieldhouse Washroom,Washroom Building,,9 a.m. to 10 p.m.,"Located in the fieldhouse east of the skate trail, south of the playground.",https://www.toronto.ca/data/parks/prd/facilities/complex/70/index.html,150 Greenwood Ave  ,2024-03-03T08:35:01,Greenwood Park Fieldhouse Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.32868026999999, 43.66944053]]}"
210,773,28907,Wedgewood Park,Wedgewood Park Outdoor Rink Washroom,Washroom Building,,View outdoor rink hours,Located in the rink building next to the outdoor ice rink.,https://www.toronto.ca/data/parks/prd/facilities/complex/773/index.html,15 Swan Ave  ,2024-02-26T07:27:55,Wedgewood Park Outdoor Rink Washroom,Closed for the Season,None,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5475486, 43.64453464]]}"
211,819,28894,Prince of Wales Rink,Prince of Wales Outdoor Rink Washroom,Washroom Building,,View outdoor rink hours,Located on the west side of the ice outdoor rink.,https://www.toronto.ca/data/parks/prd/facilities/complex/819/index.html,1 Third St  ,2024-02-26T07:26:58,Prince of Wales Outdoor Rink Washroom,Closed for the Season,None,0,"{'type': 'MultiPoint', 'coordinates': [[-79.49926631, 43.59878863]]}"
212,816,28891,Humber Valley Rink,Humber Valley Outdoor Rink Washroom,Washroom Building,,View outdoor rink hours,Located in the outdoor rink building.,https://www.toronto.ca/data/parks/prd/facilities/complex/816/index.html,50 Anglesey Blvd  ,2024-02-26T07:26:29,Humber Valley Outdoor Rink Washroom,Closed for the Season,None,0,"{'type': 'MultiPoint', 'coordinates': [[-79.52491635, 43.66419045]]}"
213,401,29631,Scarlett Woods Golf Course,Scarlett Woods Golf Course Washroom,Washroom Building,,9 a.m. to 10 p.m.,Located on the south side of clubhouse building.,https://www.toronto.ca/data/parks/prd/facilities/complex/401/index.html,1000 Jane St  ,2024-02-20T11:00:44,Scarlett Woods Golf Course Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.50013258, 43.683527590000004]]}"
214,490,29332,Elie Wiesel Park,Elie Wiesel Park Washroom ,Washroom Building,Entrance at Grade,9 a.m. to 10 p.m.,Located north of the baseball diamond and west of the tennis courts.,https://www.toronto.ca/data/parks/prd/facilities/complex/490/index.html,30 Palm Dr  ,2024-01-30T07:16:46,Elie Wiesel Park Washroom ,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.43774264000001, 43.74605651]]}"
215,1707,1000000228,Toronto Music Garden,Toronto Music Garden Portable Toilet,Portable Toilet,None,None,Located off the driveway at the west end of the park..,https://www.toronto.ca/data/parks/prd/facilities/complex/1707/index.html,479 Queens Quay W,2024-01-13T10:55:43,Toronto Music Garden Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.39607283, 43.63669511]]}"
216,792,1000000229,Neilson Park Scarborough,Neilson Park Scarborough Portable Toilet,Portable Toilet,None,None,Located in the north parking lot near the ball diamonds.,https://www.toronto.ca/data/parks/prd/facilities/complex/792/index.html,1555 Neilson Rd,2024-01-13T10:55:43,Neilson Park Scarborough Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.22510669, 43.81446287]]}"
217,2674,1000000230,Queen's Park,Queen's Park Portable Toilet,Portable Toilet,None,None,Near the Wellesley entrance.,https://www.toronto.ca/data/parks/prd/facilities/complex/2674/index.html,110 Wellesley St W,2024-01-13T10:55:43,Queen's Park Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.39084977, 43.66373728]]}"
218,386,1000000232,Roundhouse Park,Roundhouse Park Portable Toilet,Portable Toilet,None,None,Located beside Bremmer Drive,https://www.toronto.ca/data/parks/prd/facilities/complex/386/index.html,255 Bremner Blvd,2024-01-13T10:55:43,Roundhouse Park Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.38538105, 43.64193379]]}"
219,759,1000000233,Skymark Park,Skymark Park Portable Toilet,Portable Toilet,None,None,"Located north west of the parking lot, south of the soccer field",https://www.toronto.ca/data/parks/prd/facilities/complex/759/index.html,3500 Don Mills Rd,2024-01-13T10:55:43,Skymark Park Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.35590976, 43.79473127]]}"
220,306,1000000234,Withrow Park,Withrow Park Portable Toilet,Portable Toilet,None,None,Located on the path between the clubhouse and the ice rink,https://www.toronto.ca/data/parks/prd/facilities/complex/306/index.html,725 Logan Ave,2024-01-13T10:55:43,Withrow Park Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.34670396, 43.67545479]]}"
221,3555,1000000222,Lee Lifeson Art Park,Lee Lifeson Art Park Portable Toilet,Portable Toilet,None,None,Located at the north entrance off of Princess Ave.,https://www.toronto.ca/data/parks/prd/facilities/complex/3555/index.html,45 Princess Ave,2024-01-13T10:55:43,Lee Lifeson Art Park Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.40967074, 43.76897017]]}"
222,128,1000000223,Little Norway Park,Little Norway Park Portable Toilet,Portable Toilet,None,None,Located by the park building,https://www.toronto.ca/data/parks/prd/facilities/complex/128/index.html,659 Queens Quay W,2024-01-13T10:55:43,Little Norway Park Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.3985431, 43.633968349999996]]}"
223,471,1000000224,Marilyn Bell Park,Marilyn Bell Park Fitness Area Portable Toilet,Portable Toilet,None,None,Located by the fitness area off of Net Drive.,https://www.toronto.ca/data/parks/prd/facilities/complex/471/index.html,1095 Lake Shore Blvd W,2024-01-13T10:55:43,Marilyn Bell Park Fitness Area Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.43856434, 43.633657750000005]]}"
224,379,1000000225,McCleary Park,McCleary Park Portable Toilet,Portable Toilet,None,None,Located at the baseball diamonds.,https://www.toronto.ca/data/parks/prd/facilities/complex/379/index.html,755 Lake Shore Blvd E,2024-01-13T10:55:43,McCleary Park Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.33979491, 43.65378534]]}"
225,145,1000000226,Monarch Park,Monarch Park Portable Toilet,Portable Toilet,None,None,Located on the eastside of the park beside Parkmount Rd.,https://www.toronto.ca/data/parks/prd/facilities/complex/145/index.html,115 Felstead Ave,2024-01-13T10:55:43,Monarch Park Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.32439832, 43.67835184]]}"
226,1470,1000000227,Morningside Park,Morningside Park Portable Toilet,Portable Toilet,None,None,South side of parking lot.,https://www.toronto.ca/data/parks/prd/facilities/complex/1470/index.html,390 Morningside Ave,2024-01-13T10:55:43,Morningside Park Portable Toilet,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.19540869000001, 43.77914452]]}"
